category,item_name,description,price
SQUID,Salt & Pepper Squid,Crispy squid seasoned with salt and pepper,120
SIZZLING,Sizzling Lengua,Tender ox tongue served on a sizzling plate,130
SIZZLING,Sizzling Mixed Seafood,Mixed seafood in special sauce on a sizzling plate,145
SIZZLING,Sizzling Pusit,Grilled squid served on a sizzling plate,145
SIZZLING,Sizzling Chicken,Chicken in gravy sauce served on a sizzling plate,250
SIZZLING,Sizzling Sisig,Chopped pork face and belly on a sizzling plate,145
FISH,Fish Fillet Fried,Crispy fried fish fillet,105
FISH,Sweet & Sour Fish,Fish fillet in sweet and sour sauce,115
FISH,Fish Fillet with Tausi & Tofu,Fish fillet with fermented black beans and tofu,125
FISH,Fish Fillet in White Sauce,Fish fillet in creamy white sauce,125
VEGETABLES,Chopsuey,Mixed vegetables stir-fry,95
VEGETABLES,Lohan Chay,Buddhist-style mixed vegetable dish,95
VEGETABLES,Broccoli,Stir-fried broccoli in garlic sauce,100
VEGETABLES,Gising - Gising,Spicy winged beans and coconut milk dish,100
VEGETABLES,Tortang Macao,Filipino-style vegetable omelet,105
HOUSE SPECIALTY,Yana's Fried Chicken,Signature whole fried chicken,450
HOUSE SPECIALTY,Yana's Buttered Chicken,Whole chicken in special butter sauce,320
HOUSE SPECIALTY,Yana's Hongkong Chicken,Whole Cantonese-style roasted chicken,470
HOUSE SPECIALTY,Yana's Soy Chicken,Whole chicken marinated and cooked in special soy sauce,450
HOUSE SPECIALTY,Yana's Spicy Chicken,Whole chicken with special spicy coating,330
HOUSE SPECIALTY,Yana's Crispy Pata,Signature deep-fried pork leg,650
HOUSE SPECIALTY,Yana's Patatim,Braised pork leg in special sauce,650
HOUSE SPECIALTY,Yana's Whole Sizzling Chicken,Whole chicken in gravy on sizzling plate,480
HOUSE SPECIALTY,Yana's Crispy Ulo,Crispy fried pork head,650
ASADO,Asadong Dila,Braised ox tongue asado-style,110
ASADO,Asadong Tito,Special pork asado,110
ASADO,Assorted Asado,Mix of different asado varieties,115
SOUP,Hototay,Chinese-inspired soup with mixed meat and vegetables,90
SOUP,Sotanghon Soup,Clear glass noodle soup with vegetables,90
SOUP,Chicken Mushroom,Chicken and mushroom soup,90
NOODLES,Bihon,Thin rice noodles stir-fry,90
NOODLES,Canton,Yellow wheat noodles stir-fry,90
NOODLES,Canton Bihon,Combination of rice and wheat noodles stir-fry,90
NOODLES,Chami,Dark soy sauce based noodle dish,90
NOODLES,Lomi,Thick egg noodles in thick savory soup,90
NOODLES,Miki Bihon,Combination of egg and rice noodles,90
NOODLES,Sotanghon Guisado,Stir-fried glass noodles with vegetables and meat,95
RICE TOPPINGS,Buttered Chicken,Rice topped with buttered chicken and soup,80
RICE TOPPINGS,Lechong Kawali,Rice topped with crispy pork belly and soup,85
RICE TOPPINGS,Chopsuey,Rice topped with mixed vegetables and soup,80
RICE TOPPINGS,Sisig,Rice topped with sizzling sisig and soup,85
RICE TOPPINGS,Chili Chicken,Rice topped with spicy chicken and soup,85
RICE TOPPINGS,Beef Steak,Rice topped with beef steak and soup,85
RICE,Plain,Steamed white rice,20
RICE,Garlic Rice,Fried rice with garlic,95
RICE,Yang Chow Rice,Chinese-style fried rice with mixed vegetables and meat,105
DRINKS,MISMO,Regular-sized Coke Royal or Sprite,22
DRINKS,1.5,1.5 liter Coke Royal or Sprite,85
DRINKS,Mineral Water,Bottled mineral water,18
